Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/18/2020 00:45:00,GENESE,61753,11.49,-0.18,-0.29
02/18/2020 00:45:00,H Q,61844,11.08,-0.3,0
02/18/2020 00:45:00,HUD VL,61758,14.55,0.86,-2.31
02/18/2020 00:45:00,LONGIL,61762,15.04,1.34,-2.32
02/18/2020 00:45:00,MHK VL,61756,12.15,0.36,-0.41
02/18/2020 00:45:00,MILLWD,61759,14.63,0.9,-2.35
02/18/2020 00:45:00,N.Y.C.,61761,14.74,1.05,-2.32
02/18/2020 00:45:00,NORTH,61755,11.15,-0.23,0
02/18/2020 00:45:00,NPX,61845,14.89,0.78,-2.73
02/18/2020 00:45:00,O H,61846,11.21,-0.55,-0.38
02/18/2020 00:45:00,PJM,61847,13.13,0.33,-1.43
02/18/2020 00:45:00,WEST,61752,11.42,-0.34,-0.38
02/18/2020 00:50:00,CAPITL,61757,15.33,0.67,-4.51
02/18/2020 00:50:00,CENTRL,61754,10.84,0.11,-0.58
02/18/2020 00:50:00,DUNWOD,61760,14.3,0.84,-3.32
02/18/2020 00:50:00,GENESE,61753,10.41,-0.16,-0.42
02/18/2020 00:50:00,H Q,61844,9.88,-0.26,0
02/18/2020 00:50:00,HUD VL,61758,14.21,0.76,-3.3
02/18/2020 00:50:00,LONGIL,61762,14.66,1.2,-3.32
02/18/2020 00:50:00,MHK VL,61756,11.06,0.32,-0.59
02/18/2020 00:50:00,MILLWD,61759,14.31,0.8,-3.36
02/18/2020 00:50:00,N.Y.C.,61761,14.39,0.92,-3.31
02/18/2020 00:50:00,NORTH,61755,9.95,-0.2,0
02/18/2020 00:50:00,NPX,61845,15.08,0.7,-4.23
02/18/2020 00:50:00,O H,61846,10.2,-0.49,-0.54
02/18/2020 00:50:00,PJM,61847,12.47,0.28,-2.04
02/18/2020 00:50:00,WEST,61752,10.39,-0.3,-0.54
02/18/2020 00:55:00,CAPITL,61757,14.32,0.68,-3.38
02/18/2020 00:55:00,CENTRL,61754,10.8,0.1,-0.43
02/18/2020 00:55:00,DUNWOD,61760,13.6,0.85,-2.49
02/18/2020 00:55:00,GENESE,61753,10.42,-0.15,-0.32
02/18/2020 00:55:00,H Q,61844,9.99,-0.27,0
02/18/2020 00:55:00,HUD VL,61758,13.51,0.77,-2.48
02/18/2020 00:55:00,LONGIL,61762,13.95,1.2,-2.49
02/18/2020 00:55:00,MHK VL,61756,11.03,0.33,-0.44
02/18/2020 00:55:00,MILLWD,61759,13.59,0.81,-2.52
02/18/2020 00:55:00,N.Y.C.,61761,13.68,0.93,-2.49
02/18/2020 00:55:00,NORTH,61755,10.05,-0.21,0
02/18/2020 00:55:00,NPX,61845,14.23,0.71,-3.27
02/18/2020 00:55:00,O H,61846,10.17,-0.49,-0.4
02/18/2020 00:55:00,PJM,61847,12.07,0.28,-1.53
02/18/2020 00:55:00,WEST,61752,10.36,-0.31,-0.41
02/18/2020 01:00:00,CAPITL,61757,16.22,0.64,-5.51
02/18/2020 01:00:00,CENTRL,61754,10.85,0.08,-0.71
02/18/2020 01:00:00,DUNWOD,61760,14.95,0.83,-4.05
02/18/2020 01:00:00,GENESE,61753,10.39,-0.18,-0.51
02/18/2020 01:00:00,H Q,61844,9.81,-0.25,0
02/18/2020 01:00:00,HUD VL,61758,14.85,0.75,-4.03
02/18/2020 01:00:00,LONGIL,61762,15.3,1.19,-4.05
02/18/2020 01:00:00,MHK VL,61756,11.09,0.31,-0.72
02/18/2020 01:00:00,MILLWD,61759,14.96,0.79,-4.11
02/18/2020 01:00:00,N.Y.C.,61761,15.03,0.92,-4.05
02/18/2020 01:00:00,NORTH,61755,9.87,-0.19,0
02/18/2020 01:00:00,NPX,61845,15.85,0.69,-5.1
02/18/2020 01:00:00,O H,61846,10.18,-0.53,-0.66
02/18/2020 01:00:00,PJM,61847,12.81,0.25,-2.49
02/18/2020 01:00:00,WEST,61752,10.37,-0.35,-0.66
02/18/2020 01:05:00,CAPITL,61757,16.57,0.65,-5.85
02/18/2020 01:05:00,CENTRL,61754,10.88,0.06,-0.75
02/18/2020 01:05:00,DUNWOD,61760,15.2,0.83,-4.3
02/18/2020 01:05:00,GENESE,61753,10.4,-0.22,-0.55
02/18/2020 01:05:00,H Q,61844,9.84,-0.23,0
02/18/2020 01:05:00,HUD VL,61758,15.1,0.75,-4.28
02/18/2020 01:05:00,LONGIL,61762,15.56,1.18,-4.3
02/18/2020 01:05:00,MHK VL,61756,11.15,0.31,-0.76
02/18/2020 01:05:00,MILLWD,61759,15.22,0.79,-4.36
02/18/2020 01:05:00,N.Y.C.,61761,15.28,0.91,-4.3
02/18/2020 01:05:00,NORTH,61755,9.89,-0.18,0
02/18/2020 01:05:00,NPX,61845,18.64,0.69,-7.88
02/18/2020 01:05:00,O H,61846,10.2,-0.57,-0.7
02/18/2020 01:05:00,PJM,61847,12.95,0.23,-2.65
02/18/2020 01:05:00,WEST,61752,10.37,-0.4,-0.7
02/18/2020 01:10:00,CAPITL,61757,15.31,0.66,-4.41
02/18/2020 01:10:00,CENTRL,61754,10.87,0.06,-0.56
02/18/2020 01:10:00,DUNWOD,61760,14.32,0.83,-3.24
02/18/2020 01:10:00,GENESE,61753,10.43,-0.23,-0.41
02/18/2020 01:10:00,H Q,61844,10.01,-0.24,0
02/18/2020 01:10:00,HUD VL,61758,14.22,0.75,-3.23
02/18/2020 01:10:00,LONGIL,61762,14.67,1.18,-3.24
02/18/2020 01:10:00,MHK VL,61756,11.13,0.31,-0.58
02/18/2020 01:10:00,MILLWD,61759,14.32,0.79,-3.29
02/18/2020 01:10:00,N.Y.C.,61761,14.4,0.91,-3.24
02/18/2020 01:10:00,NORTH,61755,10.06,-0.18,0
02/18/2020 01:10:00,NPX,61845,17.59,0.7,-6.64
02/18/2020 01:10:00,O H,61846,10.19,-0.58,-0.53
02/18/2020 01:10:00,PJM,61847,12.47,0.23,-1.99
02/18/2020 01:10:00,WEST,61752,10.37,-0.41,-0.53
02/18/2020 01:15:00,CAPITL,61757,27.3,-0.18,-30.26
02/18/2020 01:15:00,CENTRL,61754,1.03,-0.02,-3.83
02/18/2020 01:15:00,DUNWOD,61760,19.24,-0.22,-22.24
02/18/2020 01:15:00,GENESE,61753,0.08,0.05,-2.82
02/18/2020 01:15:00,H Q,61844,-2.72,0.07,0
02/18/2020 01:15:00,HUD VL,61758,19.16,-0.2,-22.14
02/18/2020 01:15:00,LONGIL,61762,19.15,-0.32,-22.24
02/18/2020 01:15:00,MHK VL,61756,1.08,-0.09,-3.95
02/18/2020 01:15:00,MILLWD,61759,19.55,-0.21,-22.54
02/18/2020 01:15:00,N.Y.C.,61761,19.22,-0.24,-22.24
02/18/2020 01:15:00,NORTH,61755,-2.73,0.06,0
02/18/2020 01:15:00,NPX,61845,25.9,-0.19,-28.87
02/18/2020 01:15:00,O H,61846,0.97,0.14,-3.61
02/18/2020 01:15:00,PJM,61847,10.83,-0.07,-13.68
02/18/2020 01:15:00,WEST,61752,0.95,0.1,-3.64
02/18/2020 01:20:00,CAPITL,61757,21.18,-0.11,-23
02/18/2020 01:20:00,CENTRL,61754,1.19,-0.01,-2.91
02/18/2020 01:20:00,DUNWOD,61760,15.06,-0.14,-16.91
02/18/2020 01:20:00,GENESE,61753,0.46,0.03,-2.14
02/18/2020 01:20:00,H Q,61844,-1.67,0.04,0
02/18/2020 01:20:00,HUD VL,61758,15,-0.12,-16.83
02/18/2020 01:20:00,LONGIL,61762,15,-0.2,-16.91
02/18/2020 01:20:00,MHK VL,61756,1.24,-0.05,-3
02/18/2020 01:20:00,MILLWD,61759,15.29,-0.13,-17.13
02/18/2020 01:20:00,N.Y.C.,61761,15.04,-0.15,-16.9
02/18/2020 01:20:00,NORTH,61755,-1.68,0.03,0
02/18/2020 01:20:00,NPX,61845,20.72,-0.11,-22.54
02/18/2020 01:20:00,O H,61846,1.12,0.09,-2.74
02/18/2020 01:20:00,PJM,61847,8.65,-0.04,-10.4
02/18/2020 01:20:00,WEST,61752,1.12,0.06,-2.76
02/18/2020 01:25:00,CAPITL,61757,21.18,-0.11,-22.99
02/18/2020 01:25:00,CENTRL,61754,1.19,-0.01,-2.91
02/18/2020 01:25:00,DUNWOD,61760,15.06,-0.14,-16.9
02/18/2020 01:25:00,GENESE,61753,0.47,0.03,-2.14
02/18/2020 01:25:00,H Q,61844,-1.66,0.04,0
02/18/2020 01:25:00,HUD VL,61758,15,-0.12,-16.82
02/18/2020 01:25:00,LONGIL,61762,15,-0.2,-16.9
02/18/2020 01:25:00,MHK VL,61756,1.24,-0.05,-3
02/18/2020 01:25:00,MILLWD,61759,15.29,-0.13,-17.12
02/18/2020 01:25:00,N.Y.C.,61761,15.04,-0.15,-16.9
02/18/2020 01:25:00,NORTH,61755,-1.67,0.03,0
02/18/2020 01:25:00,NPX,61845,20.72,-0.11,-22.53
02/18/2020 01:25:00,O H,61846,1.13,0.09,-2.74
02/18/2020 01:25:00,PJM,61847,8.65,-0.04,-10.39
02/18/2020 01:25:00,WEST,61752,1.12,0.06,-2.76
02/18/2020 01:30:00,CAPITL,61757,21.18,-0.11,-22.99
02/18/2020 01:30:00,CENTRL,61754,1.19,-0.01,-2.91
02/18/2020 01:30:00,DUNWOD,61760,15.06,-0.14,-16.9
02/18/2020 01:30:00,GENESE,61753,0.47,0.03,-2.14
02/18/2020 01:30:00,H Q,61844,-1.66,0.04,0
02/18/2020 01:30:00,HUD VL,61758,15,-0.12,-16.82
02/18/2020 01:30:00,LONGIL,61762,15,-0.2,-16.9
02/18/2020 01:30:00,MHK VL,61756,1.25,-0.05,-3
02/18/2020 01:30:00,MILLWD,61759,15.29,-0.13,-17.12
02/18/2020 01:30:00,N.Y.C.,61761,15.04,-0.15,-16.9
02/18/2020 01:30:00,NORTH,61755,-1.67,0.03,0
02/18/2020 01:30:00,NPX,61845,20.72,-0.11,-22.53
02/18/2020 01:30:00,O H,61846,1.13,0.09,-2.74
02/18/2020 01:30:00,PJM,61847,8.65,-0.04,-10.39
02/18/2020 01:30:00,WEST,61752,1.12,0.06,-2.76
02/18/2020 01:35:00,CAPITL,61757,21.29,-0.11,-23.11
02/18/2020 01:35:00,CENTRL,61754,1.2,-0.01,-2.92
02/18/2020 01:35:00,DUNWOD,61760,15.14,-0.14,-16.99
02/18/2020 01:35:00,GENESE,61753,0.47,0.03,-2.15
02/18/2020 01:35:00,H Q,61844,-1.67,0.04,0
02/18/2020 01:35:00,HUD VL,61758,15.07,-0.13,-16.91
02/18/2020 01:35:00,LONGIL,61762,15.08,-0.2,-16.99
02/18/2020 01:35:00,MHK VL,61756,1.25,-0.05,-3.02
02/18/2020 01:35:00,MILLWD,61759,15.37,-0.13,-17.21
02/18/2020 01:35:00,N.Y.C.,61761,15.12,-0.15,-16.98
02/18/2020 01:35:00,NORTH,61755,-1.68,0.03,0
02/18/2020 01:35:00,NPX,61845,20.53,-0.12,-22.36
02/18/2020 01:35:00,O H,61846,1.13,0.08,-2.76
02/18/2020 01:35:00,PJM,61847,8.69,-0.04,-10.45
02/18/2020 01:35:00,WEST,61752,1.12,0.06,-2.78
02/18/2020 01:40:00,CAPITL,61757,21.06,-0.11,-22.85
02/18/2020 01:40:00,CENTRL,61754,1.2,-0.01,-2.89
02/18/2020 01:40:00,DUNWOD,61760,14.98,-0.14,-16.8
02/18/2020 01:40:00,GENESE,61753,0.47,0.03,-2.13
02/18/2020 01:40:00,H Q,61844,-1.64,0.04,0
02/18/2020 01:40:00,HUD VL,61758,14.92,-0.12,-16.72
02/18/2020 01:40:00,LONGIL,61762,14.92,-0.19,-16.8
02/18/2020 01:40:00,MHK VL,61756,1.25,-0.05,-2.98
02/18/2020 01:40:00,MILLWD,61759,15.21,-0.13,-17.02
02/18/2020 01:40:00,N.Y.C.,61761,14.97,-0.15,-16.8
02/18/2020 01:40:00,NORTH,61755,-1.65,0.03,0
02/18/2020 01:40:00,NPX,61845,20.34,-0.11,-22.14
02/18/2020 01:40:00,O H,61846,1.13,0.08,-2.73
02/18/2020 01:40:00,PJM,61847,8.61,-0.04,-10.33
02/18/2020 01:40:00,WEST,61752,1.12,0.06,-2.75
02/18/2020 01:45:00,CAPITL,61757,21.17,-0.11,-22.97
02/18/2020 01:45:00,CENTRL,61754,1.2,-0.01,-2.9
02/18/2020 01:45:00,DUNWOD,61760,15.06,-0.14,-16.88
02/18/2020 01:45:00,GENESE,61753,0.48,0.03,-2.14
02/18/2020 01:45:00,H Q,61844,-1.65,0.04,0
02/18/2020 01:45:00,HUD VL,61758,15,-0.12,-16.81
02/18/2020 01:45:00,LONGIL,61762,15,-0.19,-16.88
02/18/2020 01:45:00,MHK VL,61756,1.26,-0.05,-3
02/18/2020 01:45:00,MILLWD,61759,15.29,-0.13,-17.11
02/18/2020 01:45:00,N.Y.C.,61761,15.04,-0.15,-16.88
02/18/2020 01:45:00,NORTH,61755,-1.65,0.03,0
02/18/2020 01:45:00,NPX,61845,20.43,-0.11,-22.24
02/18/2020 01:45:00,O H,61846,1.13,0.08,-2.74
02/18/2020 01:45:00,PJM,61847,8.65,-0.04,-10.38
02/18/2020 01:45:00,WEST,61752,1.13,0.05,-2.76
02/18/2020 01:50:00,CAPITL,61757,21.18,-0.11,-22.97
02/18/2020 01:50:00,CENTRL,61754,1.2,-0.01,-2.91
02/18/2020 01:50:00,DUNWOD,61760,15.06,-0.14,-16.89
02/18/2020 01:50:00,GENESE,61753,0.48,0.03,-2.14
02/18/2020 01:50:00,H Q,61844,-1.65,0.04,0
02/18/2020 01:50:00,HUD VL,61758,15,-0.13,-16.81
02/18/2020 01:50:00,LONGIL,61762,15,-0.19,-16.89
02/18/2020 01:50:00,MHK VL,61756,1.26,-0.05,-3
02/18/2020 01:50:00,MILLWD,61759,15.29,-0.13,-17.11
02/18/2020 01:50:00,N.Y.C.,61761,15.04,-0.15,-16.88
02/18/2020 01:50:00,NORTH,61755,-1.66,0.03,0
02/18/2020 01:50:00,NPX,61845,19.42,-0.11,-21.22
02/18/2020 01:50:00,O H,61846,1.13,0.08,-2.74
02/18/2020 01:50:00,PJM,61847,8.65,-0.04,-10.39
02/18/2020 01:50:00,WEST,61752,1.13,0.05,-2.76
02/18/2020 01:55:00,CAPITL,61757,18.63,-0.08,-20.06
02/18/2020 01:55:00,CENTRL,61754,1.18,-0.01,-2.54
02/18/2020 01:55:00,DUNWOD,61760,13.29,-0.11,-14.74
02/18/2020 01:55:00,GENESE,61753,0.55,0.03,-1.87
02/18/2020 01:55:00,H Q,61844,-1.31,0.03,0
02/18/2020 01:55:00,HUD VL,61758,13.23,-0.1,-14.68
02/18/2020 01:55:00,LONGIL,61762,13.24,-0.16,-14.74
02/18/2020 01:55:00,MHK VL,61756,1.23,-0.04,-2.62
02/18/2020 01:55:00,MILLWD,61759,13.49,-0.1,-14.94
02/18/2020 01:55:00,N.Y.C.,61761,13.28,-0.12,-14.74
02/18/2020 01:55:00,NORTH,61755,-1.32,0.03,0
02/18/2020 01:55:00,NPX,61845,17.28,-0.09,-18.71
02/18/2020 01:55:00,O H,61846,1.11,0.07,-2.39
02/18/2020 01:55:00,PJM,61847,7.69,-0.04,-9.07
02/18/2020 01:55:00,WEST,61752,1.11,0.04,-2.41
02/18/2020 02:00:00,CAPITL,61757,15.6,0.64,-4.91
02/18/2020 02:00:00,CENTRL,61754,10.74,0.07,-0.62
02/18/2020 02:00:00,DUNWOD,61760,14.46,0.8,-3.61
02/18/2020 02:00:00,GENESE,61753,10.34,-0.16,-0.46
02/18/2020 02:00:00,H Q,61844,9.82,-0.23,0
02/18/2020 02:00:00,HUD VL,61758,14.37,0.73,-3.59
02/18/2020 02:00:00,LONGIL,61762,14.8,1.14,-3.61
02/18/2020 02:00:00,MHK VL,61756,10.98,0.29,-0.64
02/18/2020 02:00:00,MILLWD,61759,14.47,0.76,-3.66
02/18/2020 02:00:00,N.Y.C.,61761,14.53,0.87,-3.61
02/18/2020 02:00:00,NORTH,61755,9.86,-0.19,0
02/18/2020 02:00:00,NPX,61845,16.41,0.67,-5.69
02/18/2020 02:00:00,O H,61846,10.16,-0.47,-0.59
02/18/2020 02:00:00,PJM,61847,12.52,0.25,-2.22
02/18/2020 02:00:00,WEST,61752,10.35,-0.29,-0.59
02/18/2020 02:05:00,CAPITL,61757,13.63,0.66,-2.61
02/18/2020 02:05:00,CENTRL,61754,10.76,0.08,-0.33
02/18/2020 02:05:00,DUNWOD,61760,13.09,0.82,-1.92
02/18/2020 02:05:00,GENESE,61753,10.42,-0.18,-0.24
02/18/2020 02:05:00,H Q,61844,10.11,-0.24,0
02/18/2020 02:05:00,HUD VL,61758,13.01,0.75,-1.91
02/18/2020 02:05:00,LONGIL,61762,13.43,1.16,-1.92
02/18/2020 02:05:00,MHK VL,61756,10.99,0.3,-0.34
02/18/2020 02:05:00,MILLWD,61759,13.08,0.78,-1.95
02/18/2020 02:05:00,N.Y.C.,61761,13.16,0.89,-1.92
02/18/2020 02:05:00,NORTH,61755,10.17,-0.19,0
02/18/2020 02:05:00,NPX,61845,15.83,0.69,-4.78
02/18/2020 02:05:00,O H,61846,10.16,-0.51,-0.31
02/18/2020 02:05:00,PJM,61847,11.79,0.26,-1.18
02/18/2020 02:05:00,WEST,61752,10.34,-0.32,-0.31
02/18/2020 02:10:00,CAPITL,61757,13.84,0.66,-2.86
02/18/2020 02:10:00,CENTRL,61754,10.76,0.08,-0.36
02/18/2020 02:10:00,DUNWOD,61760,13.24,0.82,-2.1
02/18/2020 02:10:00,GENESE,61753,10.4,-0.19,-0.27
02/18/2020 02:10:00,H Q,61844,10.08,-0.24,0
02/18/2020 02:10:00,HUD VL,61758,13.16,0.74,-2.09
02/18/2020 02:10:00,LONGIL,61762,13.59,1.17,-2.1
02/18/2020 02:10:00,MHK VL,61756,11,0.3,-0.38
02/18/2020 02:10:00,MILLWD,61759,13.23,0.77,-2.13
02/18/2020 02:10:00,N.Y.C.,61761,13.31,0.89,-2.1
02/18/2020 02:10:00,NORTH,61755,10.14,-0.19,0
02/18/2020 02:10:00,NPX,61845,16.01,0.69,-4.99
02/18/2020 02:10:00,O H,61846,10.16,-0.51,-0.34
02/18/2020 02:10:00,PJM,61847,11.88,0.27,-1.29
02/18/2020 02:10:00,WEST,61752,10.36,-0.31,-0.34
02/18/2020 02:15:00,CAPITL,61757,15.33,0.65,-4.6
02/18/2020 02:15:00,CENTRL,61754,10.74,0.08,-0.58
02/18/2020 02:15:00,DUNWOD,61760,14.26,0.8,-3.38
02/18/2020 02:15:00,GENESE,61753,10.35,-0.16,-0.43
02/18/2020 02:15:00,H Q,61844,9.85,-0.23,0
02/18/2020 02:15:00,HUD VL,61758,14.18,0.73,-3.37
02/18/2020 02:15:00,LONGIL,61762,14.61,1.14,-3.38
02/18/2020 02:15:00,MHK VL,61756,10.99,0.29,-0.61
02/18/2020 02:15:00,MILLWD,61759,14.27,0.76,-3.43
02/18/2020 02:15:00,N.Y.C.,61761,14.33,0.87,-3.38
02/18/2020 02:15:00,NORTH,61755,9.89,-0.19,0
02/18/2020 02:15:00,NPX,61845,17.25,0.68,-6.49
02/18/2020 02:15:00,O H,61846,10.16,-0.47,-0.55
02/18/2020 02:15:00,PJM,61847,12.42,0.25,-2.08
